cod;nome;período;valor
12;AC;1996;104
27;AL;1996;741
13;AM;1996;450
16;AP;1996;157
29;BA;1996;1883
23;CE;1996;885
53;DF;1996;615
32;ES;1996;1191
52;GO;1996;782
21;MA;1996;363
31;MG;1996;1261
50;MS;1996;722
51;MT;1996;660
15;PA;1996;700
25;PB;1996;636
26;PE;1996;3022
22;PI;1996;117
41;PR;1996;1379
33;RJ;1996;8034
24;RN;1996;241
11;RO;1996;301
14;RR;1996;107
43;RS;1996;1482
42;SC;1996;412
28;SE;1996;238
35;SP;1996;12320
17;TO;1996;126
12;AC;1997;100
27;AL;1997;642
13;AM;1997;468
16;AP;1997;140
29;BA;1997;1981
23;CE;1997;1026
53;DF;1997;613
32;ES;1997;1416
52;GO;1997;744
21;MA;1997;333
31;MG;1997;1347
50;MS;1997;729
51;MT;1997;766
15;PA;1997;754
25;PB;1997;492
26;PE;1997;3713
22;PI;1997;142
41;PR;1997;1581
33;RJ;1997;7954
24;RN;1997;235
11;RO;1997;355
14;RR;1997;90
43;RS;1997;1648
42;SC;1997;423
28;SE;1997;190
35;SP;1997;12537
17;TO;1997;112
12;AC;1998;110
27;AL;1998;582
13;AM;1998;534
16;AP;1998;160
29;BA;1998;1271
23;CE;1998;946
53;DF;1998;633
32;ES;1998;1675
52;GO;1998;704
21;MA;1998;278
31;MG;1998;1511
50;MS;1998;670
51;MT;1998;832
15;PA;1998;774
25;PB;1998;455
26;PE;1998;4423
22;PI;1998;140
41;PR;1998;1625
33;RJ;1998;7573
24;RN;1998;222
11;RO;1998;494
14;RR;1998;134
43;RS;1998;1524
42;SC;1998;414
28;SE;1998;175
35;SP;1998;13986
17;TO;1998;129
12;AC;1999;51
27;AL;1999;554
13;AM;1999;527
16;AP;1999;192
29;BA;1999;913
23;CE;1999;1104
53;DF;1999;659
32;ES;1999;1524
52;GO;1999;853
21;MA;1999;262
31;MG;1999;1596
50;MS;1999;571
51;MT;1999;822
15;PA;1999;642
25;PB;1999;403
26;PE;1999;4217
22;PI;1999;133
41;PR;1999;1706
33;RJ;1999;7261
24;RN;1999;224
11;RO;1999;432
14;RR;1999;154
43;RS;1999;1533
42;SC;1999;385
28;SE;1999;329
35;SP;1999;15763
17;TO;1999;137
12;AC;2000;106
27;AL;2000;727
13;AM;2000;552
16;AP;2000;156
29;BA;2000;1242
23;CE;2000;1238
